2025-10-19 23:54:31 MSK | INFO     | User:1143354705 | bot                  | Получено сообщение: 500...
2025-10-19 23:54:31 MSK | INFO     | User:1143354705 | callback             | Обновлен параметр order_amount=500.0 для стратегии signal_scalper
2025-10-19 23:54:39 MSK | INFO     | User:1143354705 | bot                  | Получен callback: strategy_settings
2025-10-19 23:54:40 MSK | INFO     | User:1143354705 | bot                  | Получен callback: settings
2025-10-19 23:54:41 MSK | INFO     | User:1143354705 | bot                  | Получен callback: select_trading_pairs
2025-10-19 23:54:43 MSK | INFO     | User:1143354705 | bot                  | Получен callback: toggle_symbol_SOLUSDT
2025-10-19 23:54:43 MSK | INFO     | User:1143354705 | callback             | 🔄 Публикую событие изменения символов: SOLUSDT, новый список: ['BTCUSDT', 'SOLUSDT']
2025-10-19 23:54:43 MSK | INFO     | User:1143354705 | core.bot_application | Настройки изменены: ['watchlist_symbols']
2025-10-19 23:54:44 MSK | INFO     | User:1143354705 | bot                  | Получен callback: toggle_symbol_BTCUSDT
2025-10-19 23:54:44 MSK | INFO     | User:1143354705 | callback             | 🔄 Публикую событие изменения символов: BTCUSDT, новый список: ['SOLUSDT']
2025-10-19 23:54:44 MSK | INFO     | User:1143354705 | core.bot_application | Настройки изменены: ['watchlist_symbols']
2025-10-19 23:54:45 MSK | INFO     | User:1143354705 | bot                  | Получен callback: save_symbol_selection
2025-10-19 23:54:45 MSK | INFO     | User:1143354705 | core.bot_application | Настройки изменены: ['watchlist_symbols']
2025-10-19 23:54:48 MSK | INFO     | User:1143354705 | bot                  | Получен callback: main_menu
2025-10-19 23:54:48 MSK | INFO     | User:1143354705 | callback             | Пользователь вернулся в главное меню
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | bot                  | Получено сообщение: /autotrade_start...
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | basic_handlers       | Команда 'autotrade_start' выполнена
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | database             | Загружено 3 API ключей для bybit
2025-10-19 23:54:55 MSK | WARNING  | User:1143354705 | basic_handlers       | ⚠️ Обнаружены stale данные в Redis при запуске: running=True. Очищаю...
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | cache.redis_manager  | Пользовательская сессия удалена
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | basic_handlers       | 🔍 ДИАГНОСТИКА: basic_handler.event_bus = <core.events.EventBus object at 0x7ff92d199600>
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | basic_handlers       | 🔍 ДИАГНОСТИКА: event_bus.is_running = True
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | basic_handlers       | 📤 Публикую UserSessionStartRequestedEvent в EventBus...
